,1969Y,1970Y,1971Y,1972Y,1973Y,1974Y,1975Y,1976Y,1977Y,1978Y,1979Y,1980Y,1981Y,1982Y,1983Y,1984Y,1985Y,1986Y,1987Y,1988Y,1989Y,1990Y,1991Y,1992Y,1993Y,1994Y,1995Y,1996Y,1997Y,1998Y,1999Y,2000Y,2001Y,2002Y,2003Y,2004Y,2005Y,2006Y,2007Y,2008Y,2009Y,2010Y,2011Y,2012Y,2013Y,2014Y,2015Y,2016Y,2017Y,2018Y,2019Y,2020Y,2021Y,2022Y,2023Y
bv__v_7579,139.891,144.7995,149.76,154.9475,159.6365,163.972,168.5535,173.5085,179.091,185.103,191.313,197.7645,203.414,208.024,212.8285,217.78,221.636,224.133,227.161,230.984,234.2335,236.2705,238.012,239.0015,237.5025,235.2075,239.123,248.025,255.7005,264.3465,273,275.6805,273.831,271.9595,270.5005,269.855,271.1305,273.5465,276.3955,278.4735,279.518,280.2865,281.125,282.466,285.9075,292.1485,299.286492450963,305.517466876944,311.540560109255,319.814486096221,330.15382284487,338.957880962796,360.058641517805,392.897785628171,416.8695
bv__v_8084,80.3695,82.8035,85.5515,88.246,91.6365,96.0135,100.583,105.154,110.25,114.8985,118.885,123.147,127.7795,132.839,138.0865,143.4885,148.703,153.2055,157.442,161.936,166.1135,169.4305,171.6825,174.3005,177.3565,180.2995,182.3065,183.6155,184.439,183.4855,182.0875,185.493,192.9355,199.356,206.355,213.467,216.286,216.102,216.1785,216.4375,217.222,219.646,222.8205,226.1645,228.7265,230.4405,231.769589333808,233.201050037283,235.320695805627,239.16751295078,245.234404915153,252.046550541177,257.979435784574,263.534309336985,271.1725
bv__v_8589,33.757,35.376,36.9535,38.334,39.9795,41.894,43.702,45.8675,48.4135,51.4245,54.907,58.491,61.9955,65.222,68.138,71.135,74.155,77.0945,80.644,84.5135,87.961,91.217,94.052,96.816,99.5625,102.265,104.722,106.137,107.779,110.0445,112.186,113.454,114.203,114.6845,114,113.7345,117.493,123.7725,129.4975,135.5305,141.316,144.4945,145.734,146.5845,147.319,148.759,151.074930170062,153.928445427726,157.327728812975,160.124017581828,162.167380314685,164.078041671541,166.125248700793,168.499612509623,172.311
bv__v_9094,8.933,9.477,10.104,10.7045,11.231,11.76,12.59,13.5195,14.4815,15.5485,16.6755,17.904,19.2905,20.3715,21.5275,23.1975,24.8075,26.282,27.825,29.3775,30.5615,31.7315,33.179,34.773,36.0195,37.19,38.682,39.9515,41.1575,42.4725,43.6485,44.5885,45.2295,45.8015,46.7255,48.065,49.272,50.134,51.1665,51.912,52.6505,55.3135,59.38,62.7535,65.8615,69.0025,70.1506481404694,70.3921681675168,71.2661414625806,72.3770800953802,73.8763951354201,75.9352542559838,78.2368535574421,80.4727824128677,82.5615
bv__v_9599,1.502,1.5775,1.6115,1.605,1.6485,1.805,2.1815,2.571,2.8065,3.0705,3.3575,3.684,4.085,4.1595,4.2285,4.6165,5.0085,5.4615,5.942,6.4685,6.8075,7.0785,7.4295,7.7905,8.052,8.275,8.542,8.9085,9.344,9.649,9.9135,10.246,10.633,10.968,11.226,11.63,12.1335,12.4875,13.004,13.6675,14.381,15.032,15.5725,16.0465,16.2665,16.599,17.1319062600353,17.9027529700248,18.8509130177613,19.7246343460005,20.5871154404341,21.2609513918478,21.8038848557639,22.3240129358398,23.135
hef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
hoop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,0,2,6,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
id,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1.5,4,5,4.75,3.75,2.55,2.1165,2.75,2.5835,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
nbi_m_1519_ebb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.4953867775,170.1893867325,196.85417414,212.102725475001,211.1658007525,212.6583070175,200.7287414075,187.8049284475,198.327033281749,209.6610804505,213.159918149,205.168003125,202.19523743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nbi_m_1519_ebb_nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.35311454125,176.04711449625,200.614961924,215.987516202251,215.51803089175,216.73225733275,205.339651993999,192.4504235135,202.449245886,213.878703388,218.10314074025,209.84643710875,208.05296519375,214.570328132001,NA,NA,NA,NA,NA,NA,NA,NA,NA
nbi_m_1524_souren,332,346,368,370,373,381,394,398,411,425,430,440,463,496,505,518,537,496,456,458,447,447,437,434,432,415,353,329,304,300,280,270,245,248,283,303,306,308,284,279,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nbi_m_1574_souren,758,794,862,887,925,970,1029,1082,1127,1184,1222,1281,1320,1383,1419,1479,1523,1521,1510,1535,1543,1545,1547,1534,1576,1575,1511,1499,1470,1428,1432,1414,1429,1412,1468,1483,1481,1497,1442,1403,1421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nbi_m_2024_ebb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.051304965,78.6099610175001,85.9499558249999,90.8095739425,94.7428369324999,95.6369973325,83.2707703050001,90.592308108,94.1829962309999,109.484922768,115.5053327005,118.4194013175,115.61607836825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nbi_m_2024_ebb_nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.7538092542503,82.3124653067504,88.5101059607501,93.42828137975,97.30580686675,98.2504643995,86.76471180425,94.54582222125,96.6925511615,112.41423310525,118.64394191475,121.61665219175,119.3185826575,128.1269466605,NA,NA,NA,NA,NA,NA,NA,NA,NA
